ID0000,sss000,yyyy00,mm0000,dd0000,sscode,ssname,sstype,fa0108,fa0110,fa0112,fa0114,fa0116,fa0118,fa0120,fa0122,mem000
54,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,55,景东冬青,Ilex gintungensis H.W.Li ex Y.R.Li,4.6,6,常绿高位芽,ALF200306_0,
55,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,56,山矾,Symplocos sumuntia Buch.-Ham. ex D. Don,5.2,2.5,常绿高位芽,ALF200306_0,
56,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,57,山矾,Symplocos sumuntia Buch.-Ham. ex D. Don,3.8,2.4,常绿高位芽,ALF200306_0,
57,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,58,山矾,Symplocos sumuntia Buch.-Ham. ex D. Don,6.9,2.8,常绿高位芽,ALF200306_0,
58,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,59,山矾,Symplocos sumuntia Buch.-Ham. ex D. Don,6.8,6.5,常绿高位芽,ALF200306_0,
59,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,60,南洋木荷,Schima noronhae Reinw. ex Blume,7.5,7.5,常绿高位芽,ALF200306_0,
60,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,61,南洋木荷,Schima noronhae Reinw. ex Blume,3.4,4.6,常绿高位芽,ALF200306_0,
61,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-8,62,多花山矾,Symplocos ramosissima Wall.ex G.Don,5.3,6.5,常绿高位芽,ALF200306_0,
62,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-8,63,云南柃(云南志:斜基叶,Eurya obliquifolia Hemsl.,4.1,2.7,常绿高位芽,ALF200306_0,
63,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-8,64,丛花山矾,Symplocos poilanei Guill.,2.4,2.9,常绿高位芽,ALF200306_0,
64,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-8,65,腾冲锥,Castanopsis wattii (King ex Hook. f.) A. Camus,74.7,23,常绿高位芽,ALF200306_0,
65,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-8,66,景东冬青,Ilex gintungensis H.W.Li ex Y.R.Li,11.3,7.5,常绿高位芽,ALF200306_0,
66,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-8,67,景东冬青,Ilex gintungensis H.W.Li ex Y.R.Li,2.2,2.2,常绿高位芽,ALF200306_0,
67,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-8,68,黄心树,Machilus bombycina King ex Hook.f.,41,27,常绿高位芽,ALF200306_0,
68,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-8,69,多脉冬青,Ilex polyneura (Hand.-Mazz.)S.Y.Hu,2.9,2.1,常绿高位芽,ALF200306_0,
69,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-8,70,薄叶山矾,Symplocos anomala Brand,14.9,15,常绿高位芽,ALF200306_0,
70,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-8,71,多脉冬青,Ilex polyneura (Hand.-Mazz.)S.Y.Hu,5.8,4.1,常绿高位芽,ALF200306_0,
71,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-8,72,小花山茶,Camellia forrestii (Diels )Coh.,2.1,1.8,常绿高位芽,ALF200306_0,
72,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-8,73,南亚枇杷,Eriobotrya bengalensis (Roxb.)Hook.,3.3,4.5,常绿高位芽,ALF200306_0,
73,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-8,74,滇润楠,Machilus yunnanensis Lecomte,16.1,14,常绿高位芽,ALF200306_0,
74,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-8,75,黄心树,Machilus bombycina King ex Hook.f.,42.2,26,常绿高位芽,ALF200306_0,
75,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-8,76,多果新木姜子,Neolitsea polycarpa H.Liou,21.9,19,常绿高位芽,ALF200306_0,
76,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-9,77,山矾,Symplocos sumuntia Buch.-Ham. ex D. Don,4.3,3.2,常绿高位芽,ALF200306_0,
77,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-9,78,腾冲锥,Castanopsis wattii (King ex Hook. f.) A. Camus,8.9,5.3,常绿高位芽,ALF200306_0,
78,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-9,79,腾冲锥,Castanopsis wattii (King ex Hook. f.) A. Camus,2.4,4.6,常绿高位芽,ALF200306_0,
79,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-9,80,小花山茶,Camellia forrestii (Diels )Coh.,3.1,1.7,常绿高位芽,ALF200306_0,
80,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-9,81,山矾,Symplocos sumuntia Buch.-Ham. ex D. Don,12,2.6,常绿高位芽,ALF200306_0,
81,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-9,82,木果柯,Lithocarpus xylocarpus (Kurz) Markgr.,71.4,28,常绿高位芽,ALF200306_0,
82,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-9,83,滇润楠,Machilus yunnanensis Lecomte,15.4,11.5,常绿高位芽,ALF200306_0,
83,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-9,84,山矾,Symplocos sumuntia Buch.-Ham. ex D. Don,5.8,5.5,常绿高位芽,ALF200306_0,
84,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-9,85,景东冬青,Ilex gintungensis H.W.Li ex Y.R.Li,10.3,8,常绿高位芽,ALF200306_0,
85,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-9,86,山矾,Symplocos sumuntia Buch.-Ham. ex D. Don,10.1,4.5,常绿高位芽,ALF200306_0,
86,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-10,87,山矾,Symplocos sumuntia Buch.-Ham. ex D. Don,2.6,2.4,常绿高位芽,ALF200306_0,
87,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-10,88,多花山矾,Symplocos ramosissima Wall.ex G.Don,4.1,4.1,常绿高位芽,ALF200306_0,
88,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-10,89,景东冬青,Ilex gintungensis H.W.Li ex Y.R.Li,6.4,4.2,常绿高位芽,ALF200306_0,
89,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-10,90,景东冬青,Ilex gintungensis H.W.Li ex Y.R.Li,6.7,4.6,常绿高位芽,ALF200306_0,
90,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-10,91,山矾,Symplocos sumuntia Buch.-Ham. ex D. Don,10.7,6.5,常绿高位芽,ALF200306_0,
91,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-10,92,大花八角,Illicium macranthum A.C.Smith,18.8,10.5,常绿高位芽,ALF200306_0,
92,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-10,93,红花木莲,Manglietia insignis (Wall.)Bl.,21.5,9,常绿高位芽,ALF200306_0,
93,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-11,94,小花山茶,Camellia forrestii (Diels )Coh.,6.4,5.2,常绿高位芽,ALF200306_0,
94,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-11,95,大黄连,Mahonia mairei Takeda,3.2,3.3,常绿高位芽,ALF200306_0,
95,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-11,96,丛花山矾,Symplocos poilanei Guill.,3.4,4.2,常绿高位芽,ALF200306_0,
96,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-11,97,丛花山矾,Symplocos poilanei Guill.,2,2.3,常绿高位芽,ALF200306_0,
97,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-11,98,丛花山矾,Symplocos poilanei Guill.,3.1,4.5,常绿高位芽,ALF200306_0,
98,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-11,99,丛花山矾,Symplocos poilanei Guill.,2.4,3.6,常绿高位芽,ALF200306_0,
99,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-11,100,山矾,Symplocos sumuntia Buch.-Ham. ex D. Don,21.9,8.6,常绿高位芽,ALF200306_0,
100,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-11,101,多花山矾,Symplocos ramosissima Wall.ex G.Don,3.5,3.8,常绿高位芽,ALF200306_0,
101,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-11,102,多花山矾,Symplocos ramosissima Wall.ex G.Don,6.5,5.4,常绿高位芽,ALF200306_0,
102,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-11,103,小花山茶,Camellia forrestii (Diels )Coh.,2.6,3.8,常绿高位芽,ALF200306_0,
103,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-11,104,丛花山矾,Symplocos poilanei Guill.,3,3.9,常绿高位芽,ALF200306_0,
104,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-11,105,丛花山矾,Symplocos poilanei Guill.,5,3.5,常绿高位芽,ALF200306_0,
105,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-11,106,丛花山矾,Symplocos poilanei Guill.,6.7,4.6,常绿高位芽,ALF200306_0,
