ID0000,sss000,yyyy00,mm0000,dd0000,sscode,ssname,sstype,fa0108,fa0110,fa0112,fa0114,fa0116,fa0118,fa0120,fa0122,mem000,QC0000
40,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,41,腾冲锥,Castanopsis wattii (King ex Hook. f.) A. Camus,9.3,8.5,常绿高位芽,ALF200306_0,,树号对应的植物种名一致性检查;树号对应的样方号一致性检查
41,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,42,南亚枇杷,Eriobotrya bengalensis (Roxb.)Hook.,20.1,12.5,常绿高位芽,ALF200306_0,,树号对应的植物种名一致性检查;树号对应的样方号一致性检查
42,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,43,小花山茶,Camellia forrestii (Diels )Coh.,7.6,5.2,常绿高位芽,ALF200306_0,,树号对应的植物种名一致性检查;树号对应的样方号一致性检查
43,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,44,小花山茶,Camellia forrestii (Diels )Coh.,5.2,5.3,常绿高位芽,ALF200306_0,,树号对应的植物种名一致性检查;树号对应的样方号一致性检查
44,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,45,大花八角,Illicium macranthum A.C.Smith,2.1,1.7,常绿高位芽,ALF200306_0,,树号对应的植物种名一致性检查;树号对应的样方号一致性检查
45,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,46,小花山茶,Camellia forrestii (Diels )Coh.,3.2,4.3,常绿高位芽,ALF200306_0,,树号对应的植物种名一致性检查;树号对应的样方号一致性检查
46,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,47,黄心树,Machilus bombycina King ex Hook.f.,6.6,4.6,常绿高位芽,ALF200306_0,,树号对应的样方号一致性检查
47,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,48,云南柃(云南志:斜基叶,Eurya obliquifolia Hemsl.,2.7,2.5,常绿高位芽,ALF200306_0,,树号对应的植物种名一致性检查;树号对应的样方号一致性检查
48,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,49,景东冬青,Ilex gintungensis H.W.Li ex Y.R.Li,8.3,9.6,常绿高位芽,ALF200306_0,,树号对应的样方号一致性检查
49,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,50,南亚枇杷,Eriobotrya bengalensis (Roxb.)Hook.,3.2,3.8,常绿高位芽,ALF200306_0,,树号对应的植物种名一致性检查;树号对应的样方号一致性检查
50,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,51,波叶稠李,Prunus undulata Buch.-Ham.,6.2,8.2,常绿高位芽,ALF200306_0,,树号对应的植物种名一致性检查;树号对应的样方号一致性检查
51,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,52,滇润楠,Machilus yunnanensis Lecomte,49.7,23,常绿高位芽,ALF200306_0,,树高阈值检查;树号对应的样方号一致性检查
52,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,53,滇润楠,Machilus yunnanensis Lecomte,3.8,2.7,常绿高位芽,ALF200306_0,,
53,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,54,小花山茶,Camellia forrestii (Diels )Coh.,5,4.2,常绿高位芽,ALF200306_0,,树号对应的植物种名一致性检查;树号对应的样方号一致性检查
54,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,55,景东冬青,Ilex gintungensis H.W.Li ex Y.R.Li,4.6,6,常绿高位芽,ALF200306_0,,树号对应的样方号一致性检查
55,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,56,山矾,Symplocos sumuntia Buch.-Ham. ex D. Don,5.2,2.5,常绿高位芽,ALF200306_0,,树号对应的样方号一致性检查
56,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,57,山矾,Symplocos sumuntia Buch.-Ham. ex D. Don,3.8,2.4,常绿高位芽,ALF200306_0,,树号对应的植物种名一致性检查;树号对应的样方号一致性检查
57,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,58,山矾,Symplocos sumuntia Buch.-Ham. ex D. Don,6.9,2.8,常绿高位芽,ALF200306_0,,树号对应的样方号一致性检查
58,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,59,山矾,Symplocos sumuntia Buch.-Ham. ex D. Don,6.8,6.5,常绿高位芽,ALF200306_0,,树号对应的样方号一致性检查
59,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,60,南洋木荷,Schima noronhae Reinw. ex Blume,7.5,7.5,常绿高位芽,ALF200306_0,,树号对应的样方号一致性检查
60,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,61,南洋木荷,Schima noronhae Reinw. ex Blume,3.4,4.6,常绿高位芽,ALF200306_0,,树号对应的样方号一致性检查
61,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-8,62,多花山矾,Symplocos ramosissima Wall.ex G.Don,5.3,6.5,常绿高位芽,ALF200306_0,,树号对应的样方号一致性检查
62,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-8,63,云南柃(云南志:斜基叶,Eurya obliquifolia Hemsl.,4.1,2.7,常绿高位芽,ALF200306_0,,树号对应的植物种名一致性检查;树号对应的样方号一致性检查
63,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-8,64,丛花山矾,Symplocos poilanei Guill.,2.4,2.9,常绿高位芽,ALF200306_0,,树号对应的样方号一致性检查
64,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-8,65,腾冲锥,Castanopsis wattii (King ex Hook. f.) A. Camus,74.7,23,常绿高位芽,ALF200306_0,,树高阈值检查;树号对应的植物种名一致性检查;树号对应的样方号一致性检查
65,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-8,66,景东冬青,Ilex gintungensis H.W.Li ex Y.R.Li,11.3,7.5,常绿高位芽,ALF200306_0,,树号对应的样方号一致性检查
66,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-8,67,景东冬青,Ilex gintungensis H.W.Li ex Y.R.Li,2.2,2.2,常绿高位芽,ALF200306_0,,
67,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-8,68,黄心树,Machilus bombycina King ex Hook.f.,41,27,常绿高位芽,ALF200306_0,,树高阈值检查;树号对应的样方号一致性检查
68,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-8,69,多脉冬青,Ilex polyneura (Hand.-Mazz.)S.Y.Hu,2.9,2.1,常绿高位芽,ALF200306_0,,树号对应的样方号一致性检查
69,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-8,70,薄叶山矾,Symplocos anomala Brand,14.9,15,常绿高位芽,ALF200306_0,,树号对应的样方号一致性检查
70,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-8,71,多脉冬青,Ilex polyneura (Hand.-Mazz.)S.Y.Hu,5.8,4.1,常绿高位芽,ALF200306_0,,树号对应的样方号一致性检查
71,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-8,72,小花山茶,Camellia forrestii (Diels )Coh.,2.1,1.8,常绿高位芽,ALF200306_0,,树号对应的植物种名一致性检查;树号对应的样方号一致性检查
72,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-8,73,南亚枇杷,Eriobotrya bengalensis (Roxb.)Hook.,3.3,4.5,常绿高位芽,ALF200306_0,,树号对应的植物种名一致性检查;树号对应的样方号一致性检查
73,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-8,74,滇润楠,Machilus yunnanensis Lecomte,16.1,14,常绿高位芽,ALF200306_0,,树号对应的样方号一致性检查
74,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-8,75,黄心树,Machilus bombycina King ex Hook.f.,42.2,26,常绿高位芽,ALF200306_0,,树高阈值检查;树号对应的样方号一致性检查
75,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-8,76,多果新木姜子,Neolitsea polycarpa H.Liou,21.9,19,常绿高位芽,ALF200306_0,,树高阈值检查;树号对应的样方号一致性检查
76,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-9,77,山矾,Symplocos sumuntia Buch.-Ham. ex D. Don,4.3,3.2,常绿高位芽,ALF200306_0,,树号对应的样方号一致性检查
77,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-9,78,腾冲锥,Castanopsis wattii (King ex Hook. f.) A. Camus,8.9,5.3,常绿高位芽,ALF200306_0,,树号对应的植物种名一致性检查;树号对应的样方号一致性检查
78,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-9,79,腾冲锥,Castanopsis wattii (King ex Hook. f.) A. Camus,2.4,4.6,常绿高位芽,ALF200306_0,,树号对应的植物种名一致性检查;树号对应的样方号一致性检查
79,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-9,80,小花山茶,Camellia forrestii (Diels )Coh.,3.1,1.7,常绿高位芽,ALF200306_0,,树号对应的样方号一致性检查
80,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-9,81,山矾,Symplocos sumuntia Buch.-Ham. ex D. Don,12,2.6,常绿高位芽,ALF200306_0,,树号对应的样方号一致性检查
81,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-9,82,木果柯,Lithocarpus xylocarpus (Kurz) Markgr.,71.4,28,常绿高位芽,ALF200306_0,,树高阈值检查;树号对应的样方号一致性检查
82,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-9,83,滇润楠,Machilus yunnanensis Lecomte,15.4,11.5,常绿高位芽,ALF200306_0,,树号对应的样方号一致性检查
83,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-9,84,山矾,Symplocos sumuntia Buch.-Ham. ex D. Don,5.8,5.5,常绿高位芽,ALF200306_0,,树号对应的样方号一致性检查
84,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-9,85,景东冬青,Ilex gintungensis H.W.Li ex Y.R.Li,10.3,8,常绿高位芽,ALF200306_0,,树号对应的样方号一致性检查
85,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-9,86,山矾,Symplocos sumuntia Buch.-Ham. ex D. Don,10.1,4.5,常绿高位芽,ALF200306_0,,树号对应的样方号一致性检查
86,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-10,87,山矾,Symplocos sumuntia Buch.-Ham. ex D. Don,2.6,2.4,常绿高位芽,ALF200306_0,,树号对应的样方号一致性检查
87,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-10,88,多花山矾,Symplocos ramosissima Wall.ex G.Don,4.1,4.1,常绿高位芽,ALF200306_0,,树号对应的样方号一致性检查
88,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-10,89,景东冬青,Ilex gintungensis H.W.Li ex Y.R.Li,6.4,4.2,常绿高位芽,ALF200306_0,,树号对应的样方号一致性检查
89,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-10,90,景东冬青,Ilex gintungensis H.W.Li ex Y.R.Li,6.7,4.6,常绿高位芽,ALF200306_0,,树号对应的样方号一致性检查
90,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-10,91,山矾,Symplocos sumuntia Buch.-Ham. ex D. Don,10.7,6.5,常绿高位芽,ALF200306_0,,树号对应的样方号一致性检查
